0.0,0.211,0.263,0.263,0.263,0.263,0.316,0.368,0.421,0.421,0.211,0.263,0.263,0.263,0.263,0.316,0.421,0.368,0.263
0.211,0.0,0.316,0.211,0.211,0.316,0.263,0.263,0.211,0.211,0.368,0.316,0.211,0.211,0.316,0.263,0.211,0.263,0.316
0.263,0.316,0.0,0.211,0.158,0.263,0.263,0.263,0.263,0.263,0.316,0.368,0.211,0.158,0.263,0.263,0.263,0.263,0.263
0.263,0.211,0.211,0.0,0.158,0.263,0.263,0.316,0.263,0.263,0.211,0.211,0.368,0.158,0.263,0.263,0.263,0.316,0.263
0.263,0.211,0.158,0.158,0.0,0.211,0.263,0.263,0.263,0.263,0.211,0.158,0.158,0.368,0.211,0.263,0.263,0.263,0.211
0.263,0.316,0.263,0.263,0.211,0.0,0.211,0.263,0.263,0.263,0.316,0.263,0.263,0.211,0.421,0.211,0.263,0.263,0.368
0.316,0.263,0.263,0.263,0.263,0.211,0.0,0.421,0.316,0.316,0.263,0.263,0.263,0.263,0.211,0.474,0.316,0.421,0.211
0.368,0.263,0.263,0.316,0.263,0.263,0.421,0.0,0.368,0.368,0.263,0.263,0.316,0.263,0.263,0.421,0.368,0.474,0.263
0.421,0.211,0.263,0.263,0.263,0.263,0.316,0.368,0.0,0.421,0.211,0.263,0.263,0.263,0.263,0.316,0.421,0.368,0.263
0.421,0.211,0.263,0.263,0.263,0.263,0.316,0.368,0.421,0.0,0.211,0.263,0.263,0.263,0.263,0.316,0.421,0.368,0.263
0.211,0.368,0.316,0.211,0.211,0.316,0.263,0.263,0.211,0.211,0.0,0.316,0.211,0.211,0.316,0.263,0.211,0.263,0.316
0.263,0.316,0.368,0.211,0.158,0.263,0.263,0.263,0.263,0.263,0.316,0.0,0.211,0.158,0.263,0.263,0.263,0.263,0.263
0.263,0.211,0.211,0.368,0.158,0.263,0.263,0.316,0.263,0.263,0.211,0.211,0.0,0.158,0.263,0.263,0.263,0.316,0.263
0.263,0.211,0.158,0.158,0.368,0.211,0.263,0.263,0.263,0.263,0.211,0.158,0.158,0.0,0.211,0.263,0.263,0.263,0.211
0.263,0.316,0.263,0.263,0.211,0.421,0.211,0.263,0.263,0.263,0.316,0.263,0.263,0.211,0.0,0.211,0.263,0.263,0.368
0.316,0.263,0.263,0.263,0.263,0.211,0.474,0.421,0.316,0.316,0.263,0.263,0.263,0.263,0.211,0.0,0.316,0.421,0.211
0.421,0.211,0.263,0.263,0.263,0.263,0.316,0.368,0.421,0.421,0.211,0.263,0.263,0.263,0.263,0.316,0.0,0.368,0.263
0.368,0.263,0.263,0.316,0.263,0.263,0.421,0.474,0.368,0.368,0.263,0.263,0.316,0.263,0.263,0.421,0.368,0.0,0.263
0.263,0.316,0.263,0.263,0.211,0.368,0.211,0.263,0.263,0.263,0.316,0.263,0.263,0.211,0.368,0.211,0.263,0.263,0.0
