,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
13,0.708,0.708,0.736,0.736,0.861,0.861,0.667,0.667,0.889,0.889,0.708,0.708,1.0,0.0,0.722,0.722,0.667,0.667,0.903,0.903,0.708,0.708,0.667,0.667,0.944,0.944,0.667,0.667,0.667,0.667,0.917,0.667,0.708,0.403,0.75,0.597,0.583,0.708,0.542,0.792,0.667,0.625,0.625,0.944,0.792,0.681,0.444,0.486,0.486,0.361,0.444,0.444,0.278,0.431,0.431
14,0.819,0.819,0.708,0.708,0.667,0.667,0.833,0.833,0.722,0.722,0.903,0.903,0.722,0.722,0.0,1.0,0.833,0.833,0.708,0.708,0.792,0.792,0.75,0.75,0.667,0.667,0.694,0.694,0.694,0.694,0.639,0.694,0.819,0.431,0.778,0.708,0.611,0.819,0.653,0.819,0.694,0.653,0.708,0.667,0.736,0.486,0.611,0.597,0.597,0.306,0.472,0.472,0.306,0.542,0.542
15,0.819,0.819,0.708,0.708,0.667,0.667,0.833,0.833,0.722,0.722,0.903,0.903,0.722,0.722,1.0,0.0,0.833,0.833,0.708,0.708,0.792,0.792,0.75,0.75,0.667,0.667,0.694,0.694,0.694,0.694,0.639,0.694,0.819,0.431,0.778,0.708,0.611,0.819,0.653,0.819,0.694,0.653,0.708,0.667,0.736,0.486,0.611,0.597,0.597,0.306,0.472,0.472,0.306,0.542,0.542
16,0.764,0.764,0.764,0.764,0.722,0.722,1.0,1.0,0.778,0.778,0.736,0.736,0.667,0.667,0.833,0.833,0.0,1.0,0.764,0.764,0.958,0.958,0.917,0.917,0.722,0.722,0.639,0.639,0.639,0.639,0.583,0.639,0.764,0.375,0.722,0.653,0.556,0.764,0.597,0.764,0.639,0.597,0.875,0.722,0.681,0.542,0.778,0.542,0.542,0.25,0.417,0.417,0.25,0.375,0.375
17,0.764,0.764,0.764,0.764,0.722,0.722,1.0,1.0,0.778,0.778,0.736,0.736,0.667,0.667,0.833,0.833,1.0,0.0,0.764,0.764,0.958,0.958,0.917,0.917,0.722,0.722,0.639,0.639,0.639,0.639,0.583,0.639,0.764,0.375,0.722,0.653,0.556,0.764,0.597,0.764,0.639,0.597,0.875,0.722,0.681,0.542,0.778,0.542,0.542,0.25,0.417,0.417,0.25,0.375,0.375
18,0.806,0.806,0.75,0.75,0.958,0.958,0.764,0.764,0.792,0.792,0.611,0.611,0.903,0.903,0.708,0.708,0.764,0.764,0.0,1.0,0.722,0.722,0.681,0.681,0.958,0.958,0.681,0.681,0.681,0.681,0.819,0.681,0.806,0.417,0.764,0.694,0.597,0.806,0.639,0.889,0.681,0.722,0.639,0.958,0.806,0.778,0.542,0.583,0.583,0.375,0.458,0.458,0.292,0.417,0.417
19,0.806,0.806,0.75,0.75,0.958,0.958,0.764,0.764,0.792,0.792,0.611,0.611,0.903,0.903,0.708,0.708,0.764,0.764,1.0,0.0,0.722,0.722,0.681,0.681,0.958,0.958,0.681,0.681,0.681,0.681,0.819,0.681,0.806,0.417,0.764,0.694,0.597,0.806,0.639,0.889,0.681,0.722,0.639,0.958,0.806,0.778,0.542,0.583,0.583,0.375,0.458,0.458,0.292,0.417,0.417
20,0.722,0.722,0.806,0.806,0.681,0.681,0.958,0.958,0.819,0.819,0.778,0.778,0.708,0.708,0.792,0.792,0.958,0.958,0.722,0.722,0.0,1.0,0.958,0.958,0.764,0.764,0.681,0.681,0.681,0.681,0.625,0.681,0.722,0.417,0.764,0.611,0.597,0.722,0.556,0.722,0.681,0.556,0.917,0.764,0.722,0.5,0.736,0.5,0.5,0.292,0.458,0.458,0.292,0.333,0.333
21,0.722,0.722,0.806,0.806,0.681,0.681,0.958,0.958,0.819,0.819,0.778,0.778,0.708,0.708,0.792,0.792,0.958,0.958,0.722,0.722,1.0,0.0,0.958,0.958,0.764,0.764,0.681,0.681,0.681,0.681,0.625,0.681,0.722,0.417,0.764,0.611,0.597,0.722,0.556,0.722,0.681,0.556,0.917,0.764,0.722,0.5,0.736,0.5,0.5,0.292,0.458,0.458,0.292,0.333,0.333
22,0.681,0.681,0.764,0.764,0.722,0.722,0.917,0.917,0.778,0.778,0.736,0.736,0.667,0.667,0.75,0.75,0.917,0.917,0.681,0.681,0.958,0.958,0.0,1.0,0.722,0.722,0.639,0.639,0.639,0.639,0.583,0.639,0.681,0.458,0.722,0.569,0.556,0.681,0.514,0.681,0.639,0.514,0.875,0.722,0.764,0.458,0.694,0.458,0.458,0.25,0.417,0.417,0.25,0.292,0.292
